Make,Model,Year,MSRP
BMW,4 Series,2015,46250
Ford,Expedition,2017,46225
Mercedes-Benz,CLK-Class,2007,46200
Infiniti,Q50,2015,46200
Audi,A6,2016,46200
Chevrolet,Avalanche,2011,46195
Chevrolet,Silverado 1500,2017,46180
Ford,Mustang,2015,46170
Toyota,Sienna,2017,46170
BMW,2 Series,2016,46150
Ford,F-150,2015,46140
BMW,1 Series M,2011,46135
Cadillac,SRX,2015,46135
Cadillac,SRX,2016,46135
Acura,ZDX,2012,46120
Chevrolet,Silverado 1500,2015,46110
Cadillac,ATS,2016,46110
Cadillac,CTS Wagon,2014,46095
Cadillac,CTS Wagon,2013,46090
Cadillac,CTS Wagon,2012,46090
Saab,9-3 Griffin,2012,46080
Saab,9-3 Griffin,2012,46080
Lexus,RX 400h,2006,46060
Infiniti,Q60 Coupe,2014,46050
Volvo,V60,2016,46050
Infiniti,G Sedan,2012,46050
Mercedes-Benz,C-Class,2015,46050
Infiniti,Q60 Coupe,2015,46050
Cadillac,DeVille,2005,46045
Cadillac,SRX,2015,46030
Lincoln,MKC,2015,46030
Cadillac,SRX,2016,46030
Acura,ZDX,2011,46020
Toyota,Tundra,2017,46010
Toyota,Tundra,2017,46010
Audi,Q5,2016,46000
Lincoln,MKS,2016,46000
Cadillac,ATS,2017,45995
Cadillac,CTS,2017,45995
BMW,M,2001,45990
Cadillac,Seville,2004,45975
Land Rover,LR3,2009,45975
Land Rover,Discovery Sport,2016,45955
Acura,MDX,2017,45950
Volvo,XC90,2016,45950
Infiniti,Q50,2016,45900
Audi,A4,2017,45900
Chevrolet,Silverado 1500,2017,45860
Cadillac,CTS Coupe,2012,45850
Cadillac,CTS Coupe,2013,45850
Infiniti,QX70,2015,45850
Infiniti,QX70,2016,45850
GMC,Acadia Limited,2017,45850
Infiniti,QX70,2017,45850
Ford,F-150,2017,45845
Ford,F-150,2016,45845
Lincoln,MKS,2015,45840
Lincoln,MKS,2014,45840
Chevrolet,Avalanche,2010,45815
Chevrolet,Silverado 1500,2015,45810
BMW,4 Series Gran Coupe,2015,45800
Land Rover,Range Rover Evoque,2017,45800
Infiniti,M35,2009,45800
Volvo,XC60,2015,45800
Infiniti,M35,2010,45800
Volvo,V60,2016,45800
BMW,3 Series,2016,45800
Cadillac,CTS Coupe,2014,45795
Buick,Enclave,2017,45765
BMW,3 Series,2015,45750
Volvo,XC90,2017,45750
Infiniti,G Convertible,2011,45750
Volvo,XC60,2016,45750
Chevrolet,SS,2015,45745
Lincoln,Aviator,2004,45705
Land Rover,Range Rover Evoque,2017,45700
Kia,Sorento,2017,45700
Dodge,Challenger,2015,45695
Volvo,XC70,2016,45675
Land Rover,Range Rover Evoque,2016,45675
Buick,Enclave,2016,45660
Infiniti,M35,2008,45650
Volvo,XC60,2016,45650
Chevrolet,Silverado 1500,2016,45640
Lexus,GS 200t,2016,45615
Cadillac,ATS,2015,45615
Lincoln,MKZ,2016,45605
Lincoln,MKZ,2016,45605
Cadillac,DeVille,2004,45600
Nissan,Armada,2014,45580
Land Rover,Discovery Sport,2015,45570
Toyota,Tundra,2016,45560
Toyota,Tundra,2016,45560
Lincoln,MKX,2017,45560
Cadillac,CTS,2016,45560
Lincoln,MKZ,2015,45555
Lincoln,MKZ,2015,45555
Volvo,XC60,2015,45550
BMW,X4,2017,45550
Volvo,XC60,2015,45550
Cadillac,Seville,2003,45535
Acura,TL,2014,45510
BMW,X3,2015,45500
Infiniti,G Coupe,2013,45500
Nissan,370Z,2017,45490
Nissan,370Z,2016,45490
Nissan,370Z,2015,45490
Lincoln,MKC,2017,45475
Toyota,Sequoia,2017,45460
Buick,Enclave,2015,45450
Infiniti,Q50,2015,45450
Infiniti,G Sedan,2012,45450
Audi,A3,2016,45450
Cadillac,ATS Coupe,2016,45445
Ford,Expedition,2016,45435
GMC,Sierra 1500 Hybrid,2011,45425
Chevrolet,Silverado 1500,2015,45420
Volvo,V60,2015,45400
Infiniti,QX60,2015,45400
Audi,Q5,2015,45400
Volvo,XC60,2015,45400
GMC,Sierra 1500,2017,45390
Acura,TL,2013,45385
Cadillac,SRX,2014,45375
Lincoln,MKT,2016,45365
Volvo,V60 Cross Country,2017,45350
Saab,9-7X,2009,45345
Cadillac,CTS,2015,45345
GMC,Sierra 1500,2017,45330
Toyota,Sequoia,2016,45325
Lincoln,MKX,2016,45315
Cadillac,XTS,2016,45295
Cadillac,XTS,2017,45295
Chrysler,300,2017,45270
Chrysler,Aspen,2009,45270
Nissan,370Z,2016,45270
Toyota,Sienna,2016,45270
Nissan,370Z,2017,45270
Nissan,370Z,2015,45270
Cadillac,Eldorado,2002,45265
Cadillac,SRX,2014,45255
BMW,X4,2016,45250
Ford,Explorer,2017,45205
Lincoln,MKT,2015,45205
Chrysler,300,2016,45190
Acura,TL,2012,45185
Lexus,RC 350,2017,45175
Chrysler,Crossfire,2006,45170
Chevrolet,Silverado 1500,2016,45170
GMC,Sierra 1500 Hybrid,2013,45155
Cadillac,ATS,2016,45155
Cadillac,ATS,2016,45155
Volvo,V60,2015,45150
Cadillac,ATS Coupe,2015,45150
Infiniti,FX,2012,45150
Cadillac,ATS Coupe,2016,45150
Lincoln,Aviator,2003,45125
Toyota,Sienna,2015,45120
Chevrolet,Silverado 1500,2015,45120
Land Rover,Range Rover Evoque,2015,45100
Volvo,S80,2015,45100
Lexus,GS 300,2006,45100
Ford,F-150,2015,45090
Dodge,Durango,2017,45090
Saab,9-3,2011,45080
Saab,9-3,2010,45080
Chevrolet,Silverado 1500 Hybrid,2011,45055
Lexus,RC 350,2015,45025
Nissan,Titan,2017,45020
Lexus,RC 350,2016,45015
Acura,MDX,2016,45015
Audi,A4,2015,45000
Dodge,Charger,2017,44995
BMW,M,2002,44990
Toyota,Highlander,2016,44990
BMW,M,2001,44990
Dodge,Durango,2016,44990
Buick,Envision,2017,44960
Infiniti,FX,2013,44950
Cadillac,ATS Coupe,2015,44935
Toyota,Tundra,2015,44925
Toyota,Tundra,2015,44925
GMC,Acadia,2017,44920
GMC,Sierra 1500,2016,44910
Nissan,Armada,2017,44900
GMC,Sierra 1500,2016,44900
Infiniti,QX60,2017,44900
Chrysler,300,2015,44895
Cadillac,XT5,2017,44895
Saab,9-3,2009,44885
Honda,Odyssey,2016,44875
Volvo,V60 Cross Country,2016,44850
GMC,Sierra 1500,2017,44840
Chevrolet,Silverado 1500,2017,44815
Audi,allroad,2016,44800
Audi,A6,2015,44800
Acura,TLX,2015,44800
Acura,TLX,2017,44800
Acura,TLX,2016,44800
Infiniti,G Sedan,2011,44750
Buick,Envision,2016,44710
Chevrolet,Silverado 1500 Hybrid,2013,44710
Volkswagen,Touareg,2015,44705
BMW,X4,2015,44700
Dodge,Durango,2017,44695
Cadillac,ATS,2015,44660
Cadillac,XTS,2015,44660
Lexus,RX 400h,2006,44660
Cadillac,ATS,2015,44660
Infiniti,Q50,2017,44650
Volvo,V60 Cross Country,2015,44650
Mercedes-Benz,C-Class,2017,44650
Plymouth,Prowler,2001,44625
Chrysler,Prowler,2002,44625
Chrysler,Prowler,2001,44625
Honda,Odyssey,2015,44600
Dodge,Durango,2016,44595
Chevrolet,Black Diamond Avalanche,2013,44580
Acura,MDX,2015,44565
Lincoln,Continental,2017,44560
GMC,Sierra 1500,2017,44540
Ford,F-150,2016,44540
Nissan,Murano CrossCabriolet,2012,44540
Nissan,Murano CrossCabriolet,2013,44540
Ford,F-150,2017,44540
Cadillac,ATS Coupe,2015,44520
Cadillac,ATS Coupe,2016,44520
Acura,MDX,2016,44515
Audi,allroad,2015,44500
Chevrolet,Silverado 1500,2016,44475
Chevrolet,Silverado 1500,2017,44465
Buick,Lucerne,2011,44460
Saab,9-3,2009,44455
BMW,3 Series,2017,44450
BMW,2 Series,2017,44450
Lexus,RX 350,2017,44420
GMC,Sierra 1500,2016,44420
Ford,Expedition,2016,44410
Volvo,S60,2016,44400
Infiniti,QX60,2016,44400
Infiniti,Q50,2015,44400
Cadillac,DeVille,2003,44400
BMW,1 Series,2013,44400
Cadillac,Seville,2002,44399
Toyota,Sequoia,2015,44395
Kia,Cadenza,2017,44390
Toyota,4Runner,2016,44360
Volkswagen,CC,2016,44355
Chevrolet,Silverado 1500,2017,44350
Volvo,XC60,2015,44350
Infiniti,G37 Convertible,2010,44350
Infiniti,FX35,2010,44300
Infiniti,Q50,2017,44300
Infiniti,Q60 Coupe,2017,44300
GMC,Acadia,2016,44295
Volkswagen,Routan,2012,44280
Volvo,S60 Cross Country,2017,44200
Volvo,S60,2016,44200
Infiniti,G Coupe,2012,44200
Toyota,Tundra,2017,44195
Toyota,Tundra,2017,44195
Cadillac,CTS Wagon,2014,44195
Cadillac,CTS Wagon,2012,44190
Cadillac,CTS Wagon,2013,44190
Infiniti,G Sedan,2011,44150
Volvo,XC60,2016,44150
BMW,2 Series,2016,44150
BMW,3 Series,2016,44150
GMC,Sierra 1500,2015,44150
BMW,4 Series,2017,44150
Chevrolet,Traverse,2016,44145
Toyota,Highlander,2015,44140
GMC,Sierra 1500,2016,44120
BMW,1 Series,2012,44100
Land Rover,Range Rover Evoque,2015,44100
Cadillac,CTS Wagon,2014,44095
GMC,Acadia,2015,44095
Kia,Cadenza,2016,44090
Saab,9-3 Griffin,2012,44080
Saab,9-3 Griffin,2012,44080
Ford,Expedition,2016,44055
Mercedes-Benz,C-Class,2015,44050
Cadillac,CTS Wagon,2012,44050
Chevrolet,Silverado 1500,2017,44050
Volvo,XC60,2015,44050
Cadillac,CTS Wagon,2013,44050
Audi,A3,2015,44050
Infiniti,FX,2011,44050
Lincoln,MKX,2017,44045
Chevrolet,Traverse,2017,44045
Lincoln,MKX,2016,44045
Mazda,CX-9,2016,44015
Cadillac,Eldorado,2001,44011
Chevrolet,Silverado 1500,2016,44010
Audi,A4 allroad,2017,44000
Toyota,Tundra,2015,44000
Toyota,Tundra,2015,44000
GMC,Sierra 1500,2017,43995
Lotus,Elise,2009,43995
Dodge,Challenger,2017,43995
Ford,Transit Wagon,2016,43995
Dodge,Durango,2017,43995
Cadillac,ATS,2017,43995
Acura,MDX,2017,43950
Volvo,S80,2014,43950
Chevrolet,Silverado 1500,2017,43950
Cadillac,CTS Coupe,2012,43950
BMW,4 Series Gran Coupe,2017,43950
Volvo,XC90,2016,43950
Volvo,S80,2015,43950
Mercedes-Benz,SLK-Class,2015,43950
Cadillac,CTS Coupe,2013,43950
BMW,3 Series Gran Turismo,2017,43950
Toyota,Sienna,2017,43940
Chevrolet,Traverse,2015,43935
Infiniti,M35,2008,43900
Kia,Sorento,2017,43900
Infiniti,G37,2009,43900
Volvo,XC60,2015,43900
Genesis,G80,2017,43900
Infiniti,Q50,2016,43900
Dodge,Durango,2016,43895
Nissan,Titan,2015,43860
Volvo,XC60,2015,43850
GMC,Acadia Limited,2017,43850
BMW,4 Series,2016,43850
Infiniti,G37,2009,43850
Nissan,Armada,2015,43810
Kia,Cadenza,2015,43800
Audi,A4,2015,43800
Infiniti,QX60,2015,43800
Volvo,S60,2015,43800
Audi,A5,2016,43800
Ford,Transit Wagon,2015,43795
Cadillac,CTS Coupe,2014,43795
Ford,F-150,2015,43785
Nissan,Murano,2016,43780
Chevrolet,Silverado 1500,2016,43775
Buick,Enclave,2017,43765
Nissan,Pathfinder,2017,43760
BMW,3 Series,2015,43750
GMC,Acadia,2017,43750
Acura,RDX,2017,43720
Chevrolet,Silverado 1500,2016,43710
Infiniti,FX,2012,43700
Volvo,S60,2016,43700
Lexus,IS 250,2015,43690
Mercedes-Benz,C-Class,2017,43675
Ford,Explorer,2017,43675
GMC,Sierra 1500,2015,43660
Buick,Enclave,2016,43660
Infiniti,Q50,2015,43650
BMW,4 Series Gran Coupe,2016,43650
Cadillac,SRX,2015,43640
Cadillac,SRX,2016,43640
Toyota,4Runner,2015,43620
Saab,9-3,2009,43605
Nissan,Armada,2015,43600
BMW,i3,2017,43600
Infiniti,FX35,2009,43600
Dodge,Durango,2015,43595
Lincoln,LS,2005,43590
Lincoln,Aviator,2005,43585
Toyota,Tundra,2016,43585
Toyota,Tundra,2016,43585
Volkswagen,CC,2015,43575
Infiniti,G37 Sedan,2010,43550
Audi,A3,2017,43550
BMW,1 Series,2013,43550
Lincoln,MKT,2017,43530
Toyota,Highlander,2016,43530
Mercedes-Benz,SLK-Class,2014,43525
Acura,RDX,2016,43520
Volvo,V60,2016,43520
GMC,Sierra 1500,2016,43505
Ford,Explorer,2016,43500
Audi,TT,2017,43500
Dodge,Ram Pickup 1500,2009,43490
Ford,F-150,2016,43490
Ford,F-150,2017,43490
Lexus,RX 400h,2008,43480
Chevrolet,SS,2014,43475
Honda,Pilot,2017,43470
Volvo,S80,2016,43450
Chevrolet,Silverado 1500,2015,43450
Buick,Enclave,2015,43450
BMW,3 Series,2015,43450
Saab,9-5,2011,43435
Toyota,4Runner,2014,43400
Volvo,S60,2016,43400
Cadillac,ATS Coupe,2017,43395
Toyota,Tundra,2017,43395
Toyota,Tundra,2017,43395
Ford,Transit Wagon,2017,43370
Lincoln,MKT,2016,43370
Lincoln,LS,2004,43370
Lexus,IS 250 C,2015,43360
GMC,Sierra 1500,2015,43360
Volvo,XC60,2016,43350
Audi,TT,2015,43350
Infiniti,G37 Sedan,2010,43350
Infiniti,G Coupe,2011,43350
Cadillac,ATS,2016,43340
Cadillac,ATS,2015,43340
Acura,TL,2014,43310
Acura,TL,2014,43310
Ford,Explorer,2016,43300
Nissan,Pathfinder,2016,43300
Kia,Sorento,2016,43300
Volvo,S60,2016,43300
Lexus,RX 350,2016,43300
Audi,allroad,2014,43300
Infiniti,Q60 Coupe,2017,43300
Chevrolet,Camaro,2016,43300
Nissan,370Z,2016,43290
Nissan,370Z,2015,43290
Nissan,370Z,2017,43290
Nissan,Titan,2014,43280
Saab,9-5,2009,43270
Buick,LaCrosse,2017,43265
Chevrolet,Silverado 1500,2016,43260
Nissan,Pathfinder,2015,43250
Chevrolet,Avalanche,2012,43245
Lincoln,Aviator,2004,43240
Volkswagen,Routan,2011,43240
Nissan,Quest,2016,43230
GMC,Sierra 1500 Hybrid,2012,43210
Lincoln,MKT,2015,43210
Audi,A4,2017,43200
Acura,TL,2013,43185
Acura,TL,2013,43185
Nissan,Quest,2015,43180
Cadillac,ATS,2016,43155
Audi,A3,2017,43150
Lexus,GS 300,2006,43150
Audi,Q5,2017,43150
HUMMER,H3,2009,43130
Mercedes-Benz,C-Class,2016,43125
Infiniti,QX60,2017,43100
Ford,Explorer,2015,43100
Audi,A3,2016,43100
Volvo,XC70,2016,43050
Audi,A3,2016,43050
Toyota,Sienna,2016,43040
Lexus,IS 350,2016,43035
Ford,Flex,2017,43030
GMC,Acadia,2016,43020
Lexus,RX 350,2017,43020
Acura,MDX,2016,43015
Lexus,RC 350,2017,43010
BMW,3 Series Gran Turismo,2016,43000
Acura,TL,2012,42985
Acura,TL,2012,42985
Honda,Pilot,2016,42970
Lincoln,MKC,2016,42955
BMW,3 Series,2017,42950
Volvo,XC60,2015,42950
Toyota,Tundra,2016,42945
Toyota,Tundra,2016,42945
GMC,Sierra 1500,2015,42935
Chevrolet,Camaro,2017,42905
Audi,S3,2017,42900
Audi,A4,2015,42900
Audi,TT,2016,42900
Nissan,Armada,2014,42890
Cadillac,SRX,2014,42880
Toyota,Sienna,2015,42880
Nissan,Quest,2014,42870
Honda,Ridgeline,2017,42870
Chevrolet,Silverado 1500,2015,42860
Lexus,IS 250 C,2014,42860
Infiniti,FX35,2010,42850
Volvo,XC60,2015,42850
Chevrolet,Silverado 1500 Hybrid,2012,42840
GMC,Acadia,2015,42820
Audi,A5,2016,42800
Volkswagen,Touareg 2,2009,42800
Toyota,Sienna,2017,42800
Dodge,Challenger,2017,42795
Dodge,Challenger,2016,42795
Lexus,RC 350,2015,42790
Lexus,RC 350,2016,42780
Lexus,RC 300,2017,42770
Saab,9-7X,2008,42770
Chrysler,300,2017,42770
Chevrolet,Silverado 1500,2015,42760
Toyota,Tacoma,2017,42760
Lincoln,Aviator,2004,42755
BMW,X3,2017,42750
Audi,Q5,2016,42750
BMW,4 Series,2015,42750
BMW,4 Series,2015,42750
Volkswagen,Eos,2015,42745
Ford,F-150,2015,42735
Ford,F-150,2017,42725
Ford,F-150,2016,42725
Volkswagen,Touareg,2016,42705
Volvo,XC90,2014,42700
Ford,Transit Wagon,2016,42700
Audi,allroad,2016,42700
Volvo,S60,2015,42700
Chrysler,300,2016,42690
Toyota,Highlander,2015,42680
Nissan,Armada,2014,42680
Cadillac,ATS,2015,42660
Volvo,XC60,2016,42650
Volvo,XC60,2015,42650
Infiniti,JX,2013,42650
BMW,3 Series,2016,42650
Mercedes-Benz,C-Class,2017,42650
Infiniti,Q50,2017,42650
Dodge,Ram Pickup 1500,2010,42650
GMC,Sierra 1500,2015,42635
Saab,9-7X,2009,42615
Lexus,RC 300,2016,42610
Lexus,IS 250 C,2013,42610
Acura,TLX,2015,42600
Infiniti,FX,2011,42600
Acura,TLX,2016,42600
Acura,TLX,2017,42600
Infiniti,QX60,2016,42600
Infiniti,Q60 Coupe,2015,42600
Infiniti,Q60 Coupe,2014,42600
Ford,Flex,2016,42600
Dodge,Challenger,2015,42595
Lexus,RX 400h,2007,42580
Mercedes-Benz,C-Class,2015,42575
Nissan,350Z,2009,42570
Acura,MDX,2015,42565
Chevrolet,Silverado 1500,2015,42560
Chevrolet,SSR,2005,42555
Chevrolet,Silverado 1500,2017,42555
Toyota,Tundra,2015,42550
Toyota,Avalon Hybrid,2017,42550
Toyota,Tundra,2015,42550
Ford,Taurus,2017,42520
Buick,Lucerne,2010,42515
Volkswagen,Routan,2010,42500
Audi,S3,2016,42500
Volkswagen,Routan,2010,42500
Dodge,Durango,2015,42495
Chrysler,Pacifica,2017,42495
Dodge,Durango,2017,42490
Chevrolet,Avalanche,2011,42455
BMW,X3,2016,42450
Lincoln,Aviator,2003,42435
Ford,F-150,2016,42425
Ford,F-150,2017,42425
Ford,F-150,2017,42425
Ford,F-150,2016,42425
Chevrolet,Camaro,2015,42405
BMW,i3,2015,42400
Infiniti,QX60,2015,42400
BMW,i3,2017,42400
BMW,i3,2016,42400
Ford,Flex,2015,42400
Audi,allroad,2015,42400
Chrysler,300,2015,42395
Dodge,Durango,2016,42390
Chevrolet,Silverado 1500,2017,42380
Toyota,Highlander,2016,42375
Lexus,RX 350,2015,42370
Volvo,XC60,2015,42350
Audi,A4,2017,42350
Toyota,Tundra,2017,42330
Toyota,Tundra,2017,42330
Toyota,4Runner,2016,42325
Buick,Envision,2017,42320
Chevrolet,Silverado 1500,2015,42310
Honda,Odyssey,2016,42305
BMW,4 Series Gran Coupe,2015,42300
Lexus,IS 350,2015,42300
BMW,4 Series Gran Coupe,2015,42300
Audi,A3,2016,42300
Infiniti,Q50,2017,42300
Ford,Transit Wagon,2015,42295
GMC,Acadia,2016,42295
Chevrolet,Silverado 1500,2015,42270
BMW,3 Series,2017,42250
GMC,Sierra 1500 Hybrid,2011,42245
Lincoln,Mark LT,2006,42235
Acura,RDX,2017,42220
Ford,Transit Wagon,2017,42220
Audi,A5,2017,42200
Audi,Q5,2015,42200
Cadillac,CTS Wagon,2014,42195
Land Rover,Discovery Sport,2017,42195
Nissan,Murano,2016,42180
Lincoln,Aviator,2003,42175
Cadillac,CTS Wagon,2013,42150
BMW,4 Series,2017,42150
Infiniti,FX35,2009,42150
Cadillac,CTS Wagon,2012,42150
Toyota,Sienna,2017,42145
Chevrolet,Traverse,2016,42145
Ford,Mustang,2017,42145
Cadillac,Eldorado,2002,42130
Saab,9-3,2009,42130
GMC,Acadia,2015,42095
Volkswagen,Eos,2014,42095
Dodge,Durango,2017,42095
Lexus,RX 400h,2008,42080
GMC,Sierra 1500,2017,42080
Ford,Transit Wagon,2017,42075
Chevrolet,Silverado 1500,2017,42075
Buick,Envision,2016,42070
Nissan,Pathfinder,2017,42070
Acura,RDX,2017,42070
Infiniti,G Coupe,2013,42050
Volvo,XC70,2016,42050
Audi,A3,2016,42050
Volvo,XC70,2015,42050
Chevrolet,Traverse,2017,42045
Honda,Odyssey,2015,42030
Acura,RDX,2016,42020
Lincoln,Mark LT,2008,42015
Chevrolet,Silverado 1500,2015,42010
Saab,9-5,2009,42000
BMW,X3,2015,42000
Dodge,Durango,2016,41995
Chrysler,Town and Country,2014,41995
Nissan,Murano CrossCabriolet,2014,41995
Nissan,370Z,2015,41990
Nissan,370Z,2016,41990
Nissan,370Z,2017,41990
Nissan,350Z,2008,41980
Chevrolet,Silverado 1500,2015,41970
Mazda,CX-9,2016,41970
Ford,F-150,2015,41970
Acura,TL,2014,41960
Land Rover,Discovery Sport,2016,41955
BMW,3 Series,2015,41950
BMW,4 Series Gran Coupe,2017,41950
Toyota,Avalon Hybrid,2016,41950
Chevrolet,Traverse,2015,41935
Cadillac,ATS Coupe,2016,41920
Cadillac,ATS Coupe,2015,41920
Chevrolet,Camaro,2017,41905
Volvo,S60,2016,41900
Toyota,Sienna,2016,41900
Lexus,RX 350,2016,41900
Kia,Sedona,2017,41900
Infiniti,Q50,2016,41900
Ford,Mustang,2016,41895
Lincoln,MKC,2017,41895
Chevrolet,Silverado 1500,2016,41890
Chevrolet,Silverado 1500 Hybrid,2011,41875
Acura,RDX,2016,41870
Chevrolet,Silverado 1500,2016,41865
BMW,3 Series,2016,41850
BMW,4 Series,2016,41850
BMW,3 Series Gran Turismo,2015,41850
Toyota,4Runner,2016,41850
Mercedes-Benz,C-Class,2017,41850
BMW,4 Series,2016,41850
BMW,3 Series Gran Turismo,2015,41850
Lexus,IS 350,2014,41850
Infiniti,G Sedan,2012,41850
Ford,F-150,2015,41840
Acura,TL,2013,41835
Nissan,370Z,2016,41820
Lexus,ES 300h,2017,41820
Nissan,370Z,2017,41820
Nissan,370Z,2015,41820
Land Rover,Range Rover Evoque,2017,41800
Infiniti,Q50,2015,41800
Ford,Mustang,2015,41800
Volvo,XC70,2015,41800
Volvo,XC60,2015,41750
GMC,Acadia,2017,41750
Toyota,Sienna,2015,41750
Volvo,V60,2016,41750
Volvo,V60,2017,41750
Nissan,Murano,2016,41730
Toyota,Tundra,2016,41720
Toyota,Tundra,2016,41720
Lincoln,Mark LT,2008,41715
Toyota,Sienna,2017,41715
HUMMER,H3,2010,41705
HUMMER,H3,2009,41705
Volvo,V60 Cross Country,2017,41700
Land Rover,LR2,2014,41700
Land Rover,LR2,2015,41700
Kia,Sorento,2015,41700
Toyota,Avalon Hybrid,2015,41700
Volvo,S80,2015,41700
Kia,Sorento,2016,41700
Mercedes-Benz,C-Class,2017,41675
Chevrolet,Black Diamond Avalanche,2013,41675
Ford,F-150,2015,41670
Honda,Pilot,2017,41670
GMC,Sierra 1500,2016,41660
Toyota,Highlander,2015,41650
Audi,A3,2015,41650
BMW,4 Series Gran Coupe,2016,41650
Acura,TL,2012,41635
Honda,Pilot,2015,41620
Chevrolet,SSR,2004,41620
Nissan,Pathfinder,2016,41610
Acura,TLX,2017,41600
Chevrolet,Silverado 1500,2017,41590
Toyota,4Runner,2015,41585
Acura,TLX,2016,41575
Acura,TLX,2015,41575
Land Rover,Discovery Sport,2015,41570
Nissan,350Z,2009,41570
Nissan,Pathfinder,2015,41560
GMC,Sierra 1500 Hybrid,2013,41555
Volvo,XC70,2016,41550
Lincoln,MKX,2017,41550
Infiniti,G Sedan,2011,41550
Lincoln,MKX,2016,41550
Volvo,XC60,2015,41550
Lincoln,Mark LT,2007,41525
Ford,Explorer,2017,41525
Audi,A5,2016,41500
Mercedes-Benz,C-Class,2017,41500
Infiniti,G Sedan,2012,41500
Land Rover,LR2,2013,41500
Kia,Sorento,2016,41500
Cadillac,CTS Coupe,2014,41495
Land Rover,Range Rover Evoque,2016,41475
Mercedes-Benz,B-Class Electric Drive,2016,41450
Mercedes-Benz,B-Class Electric Drive,2015,41450
Volvo,XC60,2015,41450
GMC,Acadia,2017,41450
Lexus,IS 250,2015,41440
GMC,Sierra 1500,2017,41420
GMC,Sierra 1500,2017,41405
Genesis,G80,2017,41400
Lincoln,MKZ,2017,41400
Cadillac,ATS Coupe,2017,41395
Dodge,Durango,2017,41395
Toyota,Tundra,2015,41385
Toyota,Tundra,2015,41385
Honda,Ridgeline,2017,41370
Toyota,4Runner,2014,41365
Dodge,Ram Pickup 1500,2008,41350
Volvo,XC60,2016,41350
Volvo,XC60,2016,41350
Cadillac,ATS,2015,41340
Cadillac,ATS,2016,41340
Cadillac,ATS,2015,41340
Dodge,Ram Pickup 1500,2009,41340
Cadillac,ATS,2016,41340
Toyota,4Runner,2015,41310
Lexus,NX 300h,2015,41310
Lexus,NX 300h,2016,41310
Audi,Q3,2017,41300
Chevrolet,Camaro,2016,41300
Ford,Explorer,2016,41300
Infiniti,Q60 Coupe,2017,41300
Dodge,Durango,2016,41295
Mercedes-Benz,C-Class,2016,41275
GMC,Sierra 1500,2017,41265
Nissan,350Z,2007,41250
Infiniti,JX,2013,41250
BMW,X3,2017,41250
Chevrolet,Silverado 1500,2016,41250
Hyundai,Genesis,2016,41250
Toyota,Sienna,2016,41245
Lincoln,Mark LT,2007,41225
Volvo,V60 Cross Country,2016,41200
Volvo,C70,2013,41200
Audi,A5,2017,41200
Saab,9-7X,2007,41190
Chevrolet,Silverado 1500,2016,41185
Lexus,RX 400h,2007,41180
Honda,Pilot,2016,41170
Nissan,Titan,2015,41160
Hyundai,Santa Fe,2017,41150
Volvo,XC60,2015,41150
Audi,A3,2015,41150
Volvo,XC60,2015,41150
Mercedes-Benz,GLC-Class,2017,41150
Toyota,Tundra,2017,41145
Toyota,Tundra,2017,41145
Chrysler,300,2017,41135
Chevrolet,Silverado 1500 Hybrid,2013,41135
Ford,Expedition,2016,41135
Mercedes-Benz,C-Class,2016,41125
Cadillac,CTS Wagon,2013,41105
Audi,A4,2017,41100
Land Rover,Range Rover Evoque,2015,41100
Audi,S3,2015,41100
Buick,LaCrosse,2017,41065
Chrysler,300,2016,41055
Audi,A3,2015,41050
Toyota,Avalon,2017,41050
Mercedes-Benz,C-Class,2015,41050
Toyota,Sienna,2015,41035
Ford,Transit Wagon,2016,41030
Lexus,ES 300h,2016,41020
GMC,Acadia,2016,41020
Lincoln,MKS,2016,41005
Audi,allroad quattro,2003,41000
BMW,3 Series,2015,41000
Volvo,V60 Cross Country,2015,41000
Dodge,Durango,2015,40995
Chevrolet,Silverado 1500,2017,40985
Nissan,350Z,2008,40980
Lexus,RX 350,2015,40970
Infiniti,Q60 Coupe,2015,40950
BMW,X3,2016,40950
Infiniti,Q60 Coupe,2014,40950
Mercedes-Benz,GLC-Class,2016,40950
Volvo,XC60,2017,40950
Volvo,XC60,2017,40950
Mercedes-Benz,C-Class,2016,40950
Volvo,XC70,2014,40950
Infiniti,Q60 Coupe,2017,40950
BMW,2 Series,2017,40950
GMC,Sierra 1500,2016,40930
Ford,Transit Wagon,2017,40925
Chevrolet,Impala,2017,40915
Cadillac,CTS Wagon,2012,40915
Toyota,Highlander,2016,40915
GMC,Sierra 1500,2016,40915
Chevrolet,Bolt EV,2017,40905
Audi,Q5,2017,40900
Ford,Edge,2017,40900
Ford,Edge,2016,40900
Infiniti,G Coupe,2012,40900
Audi,Q5,2016,40900
GMC,Sierra 1500,2015,40900
Lexus,IS 350,2016,40870
Lincoln,MKX,2015,40850
Audi,A3,2017,40850
Lincoln,MKS,2015,40845
Lincoln,MKS,2014,40845
Saab,9-3 Griffin,2012,40840
Ford,Transit Wagon,2015,40830
Toyota,Sienna,2017,40830
GMC,Acadia,2015,40820
Toyota,Sienna,2016,40815
Chevrolet,Impala,2016,40810
Cadillac,CTS Coupe,2013,40805
Volvo,S60,2017,40800
Nissan,Murano,2016,40780
Nissan,Murano,2017,40780
GMC,Sierra 1500,2016,40775
Acura,RDX,2017,40770
