Make,Model,Year,MSRP
Maserati,Ghibli,2015,77900
Audi,RS 5,2013,77900
Audi,RS 5,2014,77900
BMW,6 Series,2017,77600
Mercedes-Benz,CLS-Class,2017,77350
BMW,6 Series,2016,77300
Cadillac,Escalade ESV,2015,77295
Maserati,Ghibli,2017,77200
Lotus,Evora,2013,77100
Cadillac,Escalade,2016,77045
Cadillac,Escalade Hybrid,2013,76975
Cadillac,Escalade,2015,76970
Land Rover,Range Rover Sport,2015,76875
Cadillac,Escalade Hybrid,2011,76685
Lincoln,Navigator,2016,76650
Lincoln,Navigator,2017,76645
Mercedes-Benz,CLS-Class,2016,76600
Cadillac,Escalade Hybrid,2012,76400
Cadillac,Escalade ESV,2017,76395
Porsche,Cayenne,2017,76200
BMW,6 Series,2015,76100
BMW,X6,2017,76100
Maserati,Ghibli,2016,76050
Porsche,Macan,2017,76000
Cadillac,Escalade,2017,75995
Cadillac,Escalade ESV,2016,75970
Cadillac,Escalade ESV,2015,75970
Mercedes-Benz,CLS-Class,2015,75700
Cadillac,Escalade,2015,75695
Cadillac,Escalade,2016,75570
Cadillac,Escalade,2015,75570
Audi,S6,2015,75500
Lexus,LS 460,2016,75465
Lexus,LS 460,2017,75465
Lexus,LS 460,2015,75465
BMW,X6,2016,75300
Audi,S6,2016,75300
Porsche,Cayman,2016,75200
Porsche,Cayman,2015,75200
Chevrolet,Corvette,2017,75195
Cadillac,STS-V,2007,75010
Tesla,Model S,2016,75000
Tesla,Model S,2015,75000
Mercedes-Benz,C-Class,2017,75000
Lotus,Exige,2009,74995
Lotus,Exige,2011,74950
Mercedes-Benz,CLS-Class,2017,74850
Porsche,Cayenne,2016,74800
BMW,M4,2017,74700
Cadillac,Escalade ESV,2015,74695
Volkswagen,Phaeton,2005,74600
Porsche,Boxster,2016,74600
Tesla,Model S,2016,74500
Cadillac,Escalade Hybrid,2013,74425
Volkswagen,Phaeton,2006,74350
Cadillac,Escalade,2015,74295
Lincoln,Navigator,2016,74260
Lincoln,Navigator,2017,74260
BMW,M4,2016,74200
Chevrolet,Corvette,2017,74195
Chevrolet,Corvette,2016,74145
Cadillac,Escalade Hybrid,2011,74135
Mercedes-Benz,CLS-Class,2016,74100
Audi,S6,2017,74100
Porsche,Cayenne,2015,74100
BMW,7 Series,2015,74000
Chevrolet,Corvette,2017,73905
Porsche,Macan,2016,73900
Cadillac,Escalade Hybrid,2012,73850
Lincoln,Navigator,2017,73650
Lincoln,Navigator,2016,73645
Porsche,Boxster,2015,73500
Chevrolet,Corvette,2015,73450
Cadillac,Escalade,2017,73395
Mercedes-Benz,C-Class,2016,73250
Mercedes-Benz,CLS-Class,2015,73200
Audi,A7,2016,73050
Cadillac,Escalade,2015,72970
Cadillac,Escalade,2016,72970
BMW,X6,2015,72900
Mercedes-Benz,C-Class,2017,72800
Mercedes-Benz,SLK-Class,2016,72600
Lexus,LS 460,2017,72520
Lexus,LS 460,2015,72520
Lexus,LS 460,2016,72520
BMW,5 Series Gran Turismo,2017,72500
BMW,M4,2015,72500
